summ_idx,func_idx,func_value
1,1,"{'create_dt': '2023-06-18T13:56:27.126240', 'modified_dt': '2023-06-18T13:56:27.126240'}"
1,2,114
1,3,8
1,4,"(6, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
1,4,"(9, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
1,4,"(20, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
1,4,"(41, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
1,4,"(44, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
1,4,"(65, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
1,4,"(81, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
1,4,"(112, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
1,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
1,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
1,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
1,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
1,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
1,6,"(37, '%let password = password_exposed;\n')"
1,6,"(95, '%let password = password_exposed;\n')"
1,6,"(104, '%let password = password_exposed;\n')"
1,7,0
1,8,9
2,1,"{'create_dt': '2023-06-18T13:56:27.126531', 'modified_dt': '2023-06-18T13:56:27.126531'}"
2,2,75
2,3,6
2,4,"(1, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
2,4,"(18, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
2,4,"(24, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
2,4,"(47, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
2,4,"(63, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
2,4,"(70, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
2,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
2,6,"(11, '%let password = password_exposed;\n')"
2,6,"(28, '%let password = password_exposed;\n')"
2,6,"(57, '%let password = password_exposed;\n')"
2,7,0
2,8,9
3,1,"{'create_dt': '2023-06-18T13:56:27.136552', 'modified_dt': '2023-06-18T13:56:27.136552'}"
3,2,95
3,3,5
3,4,"(30, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
3,4,"(45, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
3,4,"(49, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
3,4,"(52, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
3,4,"(58, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
3,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
3,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
3,6,"(34, '%let password = password_exposed;\n')"
3,6,"(43, '%let password = password_exposed;\n')"
3,6,"(64, '%let password = password_exposed;\n')"
3,6,"(92, '%let password = password_exposed;\n')"
3,7,0
3,8,6
4,1,"{'create_dt': '2023-06-18T13:56:27.125795', 'modified_dt': '2023-06-18T13:56:27.125795'}"
4,2,171
4,3,11
4,4,"(9, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
4,4,"(25, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
4,4,"(35, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
4,4,"(50, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
4,4,"(80, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
4,4,"(120, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
4,4,"(132, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
4,4,"(159, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
4,4,"(162, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
4,4,"(165, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
4,4,"(169, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
4,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
4,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
4,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
4,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
4,6,"(49, '%let password = password_exposed;\n')"
4,6,"(55, '%let password = password_exposed;\n')"
4,6,"(137, '%let password = password_exposed;\n')"
4,7,0
4,8,10
5,1,"{'create_dt': '2023-06-18T13:56:27.125419', 'modified_dt': '2023-06-18T13:56:27.125419'}"
5,2,117
5,3,4
5,4,"(44, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
5,4,"(76, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
5,4,"(92, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
5,4,"(95, 'create table t_table3 as select col1, col2, col3, col4 from t_schema.table2 join t_schema.table8 on table2.idx = table8.idx group by 1, 2, 3, 4;')"
5,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
5,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
5,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
5,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
5,5,"LIBNAME DW_TEST SQLSERVER SERVER=PROD1 SCHEMA=s_schema user = &userid password = ""&password"";
"
5,6,"(47, '%let password = password_exposed;\n')"
5,6,"(48, '%let password = password_exposed;\n')"
5,6,"(64, '%let password = password_exposed;\n')"
5,6,"(73, '%let password = password_exposed;\n')"
5,7,0
5,8,12
6,1,"{'create_dt': '2023-06-18T13:56:27.136110', 'modified_dt': '2023-06-18T13:56:27.136110'}"
6,2,134
6,3,5
6,4,"(26, 'select col1, col2, col3 from t_schema.table1 where co1 = ""some_string"";')"
