summ_idx,func_idx,func_value
1,1,"{'create_dt': '2023-06-16T13:36:57.198449', 'modified_dt': '2023-06-16T13:36:57.198449'}"
1,2,36
1,3,1
1,4,"(8, 'CREATE TABLE mylib.mytable AS SELECT * FROM sashelp.class;')"
1,5,"LIBNAME mylib 'c:\myfolder';
"
1,6,"%let password = something
"
1,6,"
"
1,6,"* Create a library for our datasets;
"
1,6,"LIBNAME mylib 'c:\myfolder';
"
1,6,"
"
1,6,"* Use PROC SQL with stimer option to track performance;
"
1,6,"options fullstimer;
"
1,6,"PROC SQL STIMER;
"
1,6,"    CREATE TABLE mylib.mytable AS 
"
1,6,"    SELECT * 
"
1,6,"    FROM sashelp.class;
"
1,6,"QUIT;
"
1,6,"
"
1,6,"* Define a macro to summarize a variable;
"
1,6,"%macro summarize_data(lib, data, var);
"
1,6,"    PROC MEANS DATA=&lib..&data;
"
1,6,"        VAR &var;
"
1,6,"    RUN;
"
1,6,"%mend summarize_data;
"
1,6,"
"
1,6,"* Use our macro to summarize Weight in mytable;
"
1,6,"%summarize_data(mylib, mytable, Weight);
"
1,6,"
"
1,6,"* Use a data step to print names to the log;
"
1,6,"DATA _NULL_;
"
1,6,"    SET mylib.mytable;
"
1,6,"    FILE PRINT;
"
1,6,"    PUT 'The name is ' Name;
"
1,6,"RUN;
"
1,6,"
"
1,6,"* Export our dataset to a CSV file;
"
1,6,"PROC EXPORT DATA=mylib.mytable
"
1,6,"    OUTFILE='C:\myfolder\mytable.csv'
"
1,6,"    DBMS=CSV
"
1,6,"    REPLACE;
"
1,6,"RUN;
"
1,7,1
1,8,1
2,1,"{'create_dt': '2023-06-12T15:15:29.947480', 'modified_dt': '2023-06-12T15:15:29.947480'}"
2,2,26
2,3,0
2,5,"LIBNAME mylib 'c:\myfolder';
"
2,6,"%INCLUDE ""test_data/deeper_test_data/sas_script_d1.sas"";
"
2,6,"
"
2,6,"* Create a library for our datasets;
"
2,6,"LIBNAME mylib 'c:\myfolder';
"
2,6,"
"
2,6,"* Define a macro to summarize a variable;
"
2,6,"%macro summarize_data(lib, data, var);
"
2,6,"    PROC MEANS DATA=&lib..&data;
"
2,6,"        VAR &var;
"
2,6,"    RUN;
"
2,6,"%mend summarize_data;
"
2,6,"
"
2,6,"* Use our macro to summarize Height in mytable;
"
2,6,"%summarize_data(mylib, mytable, Height);
"
2,6,"
"
2,6,"* Use a data step to create a log;
"
2,6,"DATA _NULL_;
"
2,6,"    SET mylib.mytable;
"
2,6,"    FILE 'c:\myfolder\log.txt';
"
2,6,"    PUT 'The name is ' Name;
"
2,6,"RUN;
"
2,6,"
"
2,6,"* View the details of our dataset;
"
2,6,"PROC DATASETS LIBRARY=mylib;
"
2,6,"    CONTENTS DATA=mytable;
"
2,6,"QUIT;
"
2,7,0
2,8,1
2,10,"(1, 'test_data/deeper_test_data/sas_script_d1.sas')"
3,1,"{'create_dt': '2023-06-16T13:36:46.030827', 'modified_dt': '2023-06-16T13:36:46.030827'}"
3,2,26
3,3,2
3,4,"(6, 'CONNECT TO ORACLE (USER=your_username PASSWORD=your_password PATH=your_path);')"
3,4,"(14, 'CREATE TABLE mylib.mytable AS SELECT * FROM connection to ORACLE (SELECT * FROM my_oracle_table);')"
3,5,"LIBNAME mylib 'c:\myfolder';
"
3,6,"* Connect to an Oracle database;
"
3,6,"%INCLUDE ""test_data/sas_script_2.sas"";
"
3,6,"
"
3,6,"%let password = fred;
"
3,6,"
"
